Time_s,RawTarget_deg,Reference_deg,ReferenceRate_rad_s,ReferenceAccel_rad_s2,ActualFFOn_deg,ActualRateFFOn_rad_s,CurrentFFOn_count,ErrorFFOn_deg,ActualFFOff_deg,ActualRateFFOff_rad_s,CurrentFFOff_count,ErrorFFOff_deg
2.573,-5.69812500000001,-6.39561454851286,0.29466363768799,50,-6.36145667238362,0.277837501444016,-5461.61316349654,-0.034157876129254,-6.90685073532837,0.179098657749399,-5778.08911881347,0.511236186815498
2.574,-5.63812500000001,-6.37524009597941,0.344663637943992,50,-6.34411062735593,0.327653694420946,-5487.41794562861,-0.031129468623496,-6.89507421430798,0.231979474722971,-5794.11851612261,0.519834118328566
2.575,-5.57812499999999,-6.35486564344596,0.394663638200009,50,-6.3239057356454,0.377630076294377,-5489.08691788956,-0.030959907800557,-6.88026596907236,0.284925796885479,-5786.30809703928,0.525400325626406
2.576,-5.518125,-6.33091643434846,0.444663638271996,50,-6.30083918746559,0.427544349320705,-5497.14882915527,-0.0300772468828702,-6.86242853259534,0.337718196393068,-5785.17840958207,0.531512098246893
2.577,-5.458125,-6.30308162029003,0.494663638143998,50,-6.27491285370667,0.477455424807486,-5512.958194643,-0.0281687665833512,-6.84156895638307,0.390418374556814,-5792.07589587808,0.538487336093044
2.578,-5.398125,-6.2752468062316,0.544663638016,50,-6.2461248755086,0.52743458428975,-5506.1599714411,-0.0291219307230023,-6.81769040458768,0.443100324318329,-5776.63757989358,0.542443598356081
2.579,-5.338125,-6.24088413733605,0.594663637888002,50,-6.21447731343833,0.577273732421359,-5529.22887726668,-0.0264068238977147,-6.7907998076474,0.495558584550656,-5791.3303959539,0.54991567031135
2.58,-5.278125,-6.20558891774948,0.644663637760004,50,-6.17997031154021,0.62724786380696,-5535.57564062057,-0.0256186062092689,-6.76090203071661,0.548070708387379,-5789.55744656483,0.555313112967126
2.581,-5.21812499999999,-6.1682731716657,0.694663637736005,50,-6.14260054913497,0.677202925511768,-5535.92637837201,-0.0256726225307405,-6.72799832975667,0.600485127297775,-5782.03738585613,0.559725158090969
2.582,-5.15812500000001,-6.12551754655101,0.744663637991993,50,-6.10237069830409,0.727083783658248,-5556.87372868075,-0.0231468482469066,-6.69209581322101,0.65274911930034,-5795.35555681351,0.56657826666999
2.583,-5.09812499999999,-6.08276192143629,0.794663638248009,50,-6.05927957884807,0.77708004209744,-5554.42044879686,-0.0234823425882326,-6.65319760112043,0.705054629288109,-5785.50759206289,0.570435679684134
2.584,-5.03812499999999,-6.03503272197159,0.844663638248011,50,-6.01332675142523,0.82697623616112,-5569.48930622889,-0.0217059705463604,-6.61130742217348,0.757188464459691,-5793.40930688386,0.576274700201876
2.585,-4.978125,-5.98481673533192,0.894663638119998,50,-5.96451332671392,0.876933724612376,-5580.72360326859,-0.0203034086179979,-6.56643042688354,0.80931418796311,-5797.6972246185,0.581613691551624
2.586,-4.91812500000002,-5.93413447334674,0.944663637967985,49.9425871448003,-5.91283680616513,0.926917134489298,-5567.30515091975,-0.0212976671816096,-6.51856803210925,0.861398565438257,-5783.78707839734,0.584433558762504
2.587,-4.85812500000002,-5.87645808117891,0.994663637455987,49.0239814616002,-5.85830220323467,0.976699620319302,-5494.67879677876,-0.0181558779442396,-6.46772740125999,0.913274238783083,-5803.50665130627,0.591269320081068
2.588,-4.798125,-5.81878168901107,1.044663636944,48.1053757783999,-5.80093662596982,1.02573678083817,-5413.35642515681,-0.0178450630412418,-6.41391161946576,0.965250924904987,-5799.21347135017,0.595129930454697
2.589,-4.73812500000001,-5.75776775626555,1.09356721063999,46.3247593896005,-5.74078503719715,1.07394976793931,-5237.89443671496,-0.0169827190684016,-6.35712123242138,1.01710754990781,-5781.21986302633,0.599353476155829
